URL,Model Name,Model Architecture
https://huggingface.co/microsoft/dit-large-finetuned-rvlcdip,microsoft/dit-large-finetuned-rvlcdip,Beit
https://huggingface.co/damlab/GO-language,damlab/GO-language,Bert
https://huggingface.co/uer/chinese_roberta_L-12_H-256,uer/chinese_roberta_L-12_H-256,Bert
https://huggingface.co/pszemraj/bigbird-pegasus-large-K-booksum,pszemraj/bigbird-pegasus-large-K-booksum,BigBirdPegasus
https://huggingface.co/bs-la/bloomz-7b1-4b-xp3ru,bs-la/bloomz-7b1-4b-xp3ru,Bloom
https://huggingface.co/Finnish-NLP/convbert-base-generator-finnish,Finnish-NLP/convbert-base-generator-finnish,ConvBert
https://huggingface.co/facebook/convnext-small-224,facebook/convnext-small-224,ConvNext
https://huggingface.co/microsoft/cvt-w24-384-22k,microsoft/cvt-w24-384-22k,Cvt
https://huggingface.co/facebook/data2vec-vision-large-ft1k,facebook/data2vec-vision-large-ft1k,Data2VecVision
https://huggingface.co/facebook/data2vec-vision-base-ft1k,facebook/data2vec-vision-base-ft1k,Data2VecVision
https://huggingface.co/facebook/data2vec-vision-base,facebook/data2vec-vision-base,Data2VecVision
https://huggingface.co/facebook/data2vec-vision-large,facebook/data2vec-vision-large,Data2VecVision
https://huggingface.co/SenseTime/deformable-detr-with-box-refine,SenseTime/deformable-detr-with-box-refine,DeformableDetr
https://huggingface.co/SenseTime/deformable-detr-single-scale,SenseTime/deformable-detr-single-scale,DeformableDetr
https://huggingface.co/SenseTime/deformable-detr-single-scale-dc5,SenseTime/deformable-detr-single-scale-dc5,DeformableDetr
https://huggingface.co/facebook/deit-tiny-distilled-patch16-224,facebook/deit-tiny-distilled-patch16-224,DeiT
https://huggingface.co/facebook/deit-small-distilled-patch16-224,facebook/deit-small-distilled-patch16-224,DeiT
https://huggingface.co/deepset/gelectra-large-generator,deepset/gelectra-large-generator,Electra
https://huggingface.co/funnel-transformer/xlarge-base,funnel-transformer/xlarge-base,FunnelBase
https://huggingface.co/funnel-transformer/large-base,funnel-transformer/large-base,FunnelBase
https://huggingface.co/funnel-transformer/small-base,funnel-transformer/small-base,FunnelBase
https://huggingface.co/ybybybybybybyb/autonlp-revanalysis-6711455,ybybybybybybyb/autonlp-revanalysis-6711455,Funnel
https://huggingface.co/funnel-transformer/large,funnel-transformer/large,Funnel
https://huggingface.co/funnel-transformer/xlarge,funnel-transformer/xlarge,Funnel
https://huggingface.co/codeparrot/codeparrot,codeparrot/codeparrot,GPT2
https://huggingface.co/BreadAi/MusePy-1-1,BreadAi/MusePy-1-1,GPTNeoX
https://huggingface.co/breadlicker45/MusePy,breadlicker45/MusePy,GPTNeoX
https://huggingface.co/hoskinson-center/proofGPT-v0.1,hoskinson-center/proofGPT-v0.1,GPTNeoX
https://huggingface.co/HHousen/distil-led-large-cnn-16384,HHousen/distil-led-large-cnn-16384,LED
https://huggingface.co/kiddothe2b/longformer-mini-1024,kiddothe2b/longformer-mini-1024,Longformer
https://huggingface.co/FremyCompany/BioLORD-STAMB2-v1,FremyCompany/BioLORD-STAMB2-v1,MPNet
https://huggingface.co/microsoft/markuplm-base-finetuned-websrc,microsoft/markuplm-base-finetuned-websrc,MarkupLM
https://huggingface.co/microsoft/markuplm-large-finetuned-websrc,microsoft/markuplm-large-finetuned-websrc,MarkupLM
https://huggingface.co/lordtt13/emo-mobilebert,lordtt13/emo-mobilebert,MobileBert
https://huggingface.co/theblackcat102/galactica-1.3b-v2,theblackcat102/galactica-1.3b-v2,OPT
https://huggingface.co/facebook/blenderbot-1B-distill,facebook/blenderbot-1B-distill,Blenderbot
https://huggingface.co/facebook/blenderbot-3B,facebook/blenderbot-3B,Blenderbot
https://huggingface.co/facebook/nllb-200-3.3B,facebook/nllb-200-3.3B,M2M100
https://huggingface.co/uer/t5-v1_1-base-chinese-cluecorpussmall,uer/t5-v1_1-base-chinese-cluecorpussmall,MT5
https://huggingface.co/google/mobilenet_v1_0.75_192,google/mobilenet_v1_0.75_192,MobileNetV1
https://huggingface.co/google/mobilenet_v1_1.0_224,google/mobilenet_v1_1.0_224,MobileNetV1
https://huggingface.co/google/mobilenet_v2_0.35_96,google/mobilenet_v2_0.35_96,MobileNetV2
https://huggingface.co/google/mobilenet_v2_0.75_160,google/mobilenet_v2_0.75_160,MobileNetV2
https://huggingface.co/sail/poolformer_s12,sail/poolformer_s12,Pool
https://huggingface.co/sail/poolformer_m36,sail/poolformer_m36,Pool
https://huggingface.co/sail/poolformer_s36,sail/poolformer_s36,Pool
https://huggingface.co/sail/poolformer_m48,sail/poolformer_m48,Pool
https://huggingface.co/sail/poolformer_s24,sail/poolformer_s24,Pool
https://huggingface.co/microsoft/resnet-34,microsoft/resnet-34,ResNet
https://huggingface.co/Visual-Attention-Network/van-small,Visual-Attention-Network/van-small,Van
https://huggingface.co/Visual-Attention-Network/van-large,Visual-Attention-Network/van-large,Van
https://huggingface.co/Visual-Attention-Network/van-tiny,Visual-Attention-Network/van-tiny,Van
https://huggingface.co/nateraw/test_model_a,nateraw/test_model_a,ViT
https://huggingface.co/facebook/vit-mae-huge,facebook/vit-mae-huge,ViTMAE
https://huggingface.co/facebook/vit-mae-large,facebook/vit-mae-large,ViTMAE
